"","Sampling Date","Sampling Location","Total fluorescence","PARAFAC C1","PARAFAC C2","PARAFAC C3","PARAFAC C4","PARAFAC C5","FI","HIX","Slope ratio","Drip water d13C_DIC","Drip water d18O","Normalized drip rate","Drip water Ca concentration (ppm)","Drip water Sr concentration (ppm)","Drip water Y concentration (ppm)","Drip water Cu concentration (ppm)"
"24",2020-10-02,"PLA",16.33830065,0.031426097,0,0.020987527,0.001526999,0.009572819,1.85648287,0.716359753,-1.51102354,-10.91479253,-6.20562052,1,49.52829671,0.053447322,0.000105097,5.36e-05
"25",2020-10-16,"GLO",9.688823164,0.017195251,0,0.016097829,0.000334298,0.005701008,1.744556112,0.703427753,1.163744446,-14.32784827,-6.027686079,0.638888888888889,35.28475839,0.045979956,NA,NA
"26",2020-10-16,"SKY",17.19530145,0.024301336,0.015181298,0.038514307,0.000444349,0.009916443,1.630284814,0.477340833,1.023501545,NA,-6.050132892,0.962508020900174,54.28149379,0.056465518,0.000172772,NA
"27",2020-10-16,"FOR",53.66128954,0.108920773,0,0.01765134,0.000492352,0.044357443,1.629493438,0.888001052,0.93598879,-15.57909116,-5.26371142,1,57.99011149,0.062050637,1.99e-06,3.21e-05
"28",2020-10-16,"PLA",17.87674478,0.037448359,0.000779603,0.015142673,0.000784134,0.011304601,1.775242853,0.739792272,-1.257311205,-12.9679853,-5.907621733,0.587837837837838,51.33546013,0.056800761,0.000197726,0.000114743
"29",2020-10-30,"GLO",8.383841831,0.017577875,0,0.005935467,0.001510166,0.005586907,1.728785628,0.794294002,1.139231156,-13.92100077,-6.030461936,0.722222222222222,47.92297168,0.047843775,3.56e-05,6.08e-05
"30",2020-10-30,"PLA",20.68240609,0.037131253,0.017477021,0.026381443,0.03317634,0.011328284,1.810262443,0.569384825,-0.345880257,-12.82988388,-5.837873853,0.432432432432432,49.92469148,0.057059673,7.87e-05,0.000119809
"31",2020-10-30,"GRA",7.224554274,0.01187394,0.000322565,0.006286143,0.0010091,0.006439926,1.382650078,0.780156245,1.400597995,-13.31069187,-5.642679707,0.854838709677419,51.57333134,0.046201934,1.05e-05,0.000162115
"32",2020-10-30,"FOR",47.09144572,0.094241849,0.000489421,0.021269798,0.0038248,0.037612408,1.647989419,0.847714533,1.570133695,-15.03344093,-5.325261188,0.932203389830509,81.45110751,0.074025326,4.78e-05,0.000124007
"33",2020-10-30,"SKY",18.82650091,0.026304405,0.005960953,0.048270127,0,0.009911557,1.756083724,0.444264047,0.72837637,NA,-6.092513407,0.962508020900174,55.17558994,0.057740893,0.000196429,0.000249815
